y,flood_var,flood_coefficient,flood_p_value,waste_var,waste_coefficient,waste_p_value,population_var,population_coefficient,population_p_value,r2,adjr2,nobs,aic,bic
3_estimated_outflow_pop_from_1_outflow_max_hour0,4_flood_mean,1416.2627331576577,0.36362190443246245,4_waste_per_population,-261.634775671066,0.6789118847247998,3_fb_baseline_median,2.9309987585715076,2.1449112610257153e-07,0.4686838875376904,0.46143866782229526,224,4456.390538543192,4470.037122750612
3_estimated_excess_displacement_pop,4_flood_p95,-307.7865309960536,0.3876347516587192,4_waste_per_population,34.46535574149148,0.7135672075355498,3_fb_baseline_median,3.036393396428327,1.5003163388770408e-06,0.3975787087157533,0.38936387292551355,224,4538.893817375202,4552.5404015826225
3_estimated_excess_displacement_pop,4_flood_mean,-970.2389840359745,0.5048933925299599,4_waste_per_population,33.21600067618456,0.7438221379110752,3_fb_baseline_median,3.0264584187148285,1.5721229266840063e-06,0.39634750015124565,0.38811587515330803,224,4539.351153926712,4552.997738134132
3_estimated_excess_displacement_pop,4_flood_max,60.347004489196934,0.6991880859403932,4_waste_per_population,12.70194534154141,0.9279939257395075,3_fb_baseline_median,3.0218831699003763,1.89861249957209e-06,0.39621899133929506,0.3879856139484672,224,4539.398835184161,4553.045419391581
3_estimated_outflow_pop_from_2_outflow_max,4_flood_max,531.1271382645891,0.24427793718299684,4_waste_per_population,84.75645913018016,0.8636110731755544,3_fb_baseline_median,3.742612607939377,1.4659656063445206e-05,0.3482915469681769,0.33940461351774287,224,4697.608926248087,4711.255510455508
3_pct_outflow_worldpop_from_1_outflow_accumulated_hour0,4_flood_mean,2.8301969100972997,0.4084820544098984,4_waste_count,-0.1361622839150236,7.730903022031317e-14,3_fb_baseline_median,0.005286465505701337,3.7790373193632167e-23,0.34342526322286204,0.33535262301658575,248,1792.282376841974,1806.336091826634
3_pct_outflow_worldpop_from_1_outflow_accumulated_hour0,4_flood_p95,0.1812185962703951,0.7072730291118995,4_waste_count,-0.13604026998966023,9.627033751780678e-14,3_fb_baseline_median,0.005263527818837336,1.8807913601846053e-23,0.3414312822613096,0.3333341258956699,248,1793.0343977043176,1807.0881126889776
3_pct_outflow_worldpop_from_1_outflow_accumulated_hour0,4_flood_max,-0.03853378463242559,0.8356268694411578,4_waste_count,-0.13551275629673254,1.2068161120082883e-13,3_fb_baseline_median,0.005258899907701047,5.878082067081909e-24,0.3411801673525886,0.33307992350856297,248,1793.128943080621,1807.182658065281
3_estimated_outflow_pop_from_2_outflow_max,4_flood_p95,426.3747119447199,0.6139687711445874,4_waste_per_population,6.306530594026057,0.9871795438379903,3_fb_baseline_median,3.817148946853436,9.194369924146923e-06,0.3377280876532106,0.32869710703029986,224,4701.210602387369,4714.85718659479
3_estimated_outflow_pop_from_2_outflow_max,4_flood_mean,2219.878541261618,0.5540068556107642,4_waste_per_population,-14.760527559585313,0.9721173185447435,3_fb_baseline_median,3.835168111706846,9.824014244513261e-06,0.33722122533841303,0.32818333295666413,224,4701.381972683111,4715.028556890531
3_pct_outflow_worldpop_from_1_outflow_accumulated_hour0,4_flood_mean,5.230590195009147,0.20572300702769275,4_waste_per_svi_count,-0.541285015620173,1.2908943393485091e-15,3_fb_baseline_median,0.004718185181020312,1.271588190345795e-22,0.33374383927388296,0.32465852799125405,224,1634.3595657909618,1648.006149998382
3_pct_outflow_fb_from_1_outflow_accumulated_hour0,4_flood_mean,5.291245981929993,0.1732031589185049,4_waste_count,-0.13777914613318784,7.519746962187733e-15,3_fb_baseline_median,0.0051716875321318615,9.561073405697835e-24,0.33020105062142335,0.32165042573573943,239,1739.6639089449345,1753.5697631526605
3_pct_outflow_fb_from_1_outflow_accumulated_hour0,4_flood_mean,5.060826081572775,0.22245375641774978,4_waste_per_svi_count,-0.5480866364877444,1.0065757774258982e-15,3_fb_baseline_median,0.004661122868476556,1.0713003383074958e-22,0.3308462691614399,0.32146560938332924,218,1593.7529910529793,1607.2909713041356
3_pct_outflow_worldpop_from_1_outflow_accumulated_hour0,4_flood_p95,0.3185876049362334,0.5950583710236867,4_waste_per_svi_count,-0.5395828852593595,1.7265401523478161e-15,3_fb_baseline_median,0.004688714451612567,1.0827298911415233e-22,0.32848711646622175,0.31933012259985205,224,1636.1199772379782,1649.7665614453983
3_pct_outflow_worldpop_from_1_outflow_accumulated_hour0,4_flood_max,-0.012798751640052716,0.9592371227914117,4_waste_per_svi_count,-0.5372165758154253,2.7530228382953534e-15,3_fb_baseline_median,0.00469122594464243,9.664890113018941e-23,0.3276448841441675,0.31847640529158794,224,1636.400748958008,1650.0473331654282
3_pct_outflow_fb_from_1_outflow_accumulated_hour0,4_flood_p95,0.3598808770355048,0.49336351884057517,4_waste_count,-0.1375152096462348,1.0783224624825035e-14,3_fb_baseline_median,0.005141949304089324,3.735854315712095e-24,0.32507640902425616,0.31646036318201265,239,1741.4855416376226,1755.3913958453486
3_pct_outflow_fb_from_1_outflow_accumulated_hour0,4_flood_p95,0.30118248345567183,0.6181622073057056,4_waste_per_svi_count,-0.5465211929724758,1.3928300588333414e-15,3_fb_baseline_median,0.004631559981011451,9.75724509734658e-23,0.325826929312761,0.3163759049573325,218,1595.3821123927526,1608.920092643909
3_pct_outflow_fb_from_1_outflow_accumulated_hour0,4_flood_max,0.01590450038467624,0.9507597208288789,4_waste_per_svi_count,-0.5445435099324345,1.9859420331754843e-15,3_fb_baseline_median,0.004629889894995268,1.1545686546244086e-22,0.3250701548449525,0.3156085215016575,218,1595.6266850630045,1609.1646653141609
3_pct_outflow_fb_from_1_outflow_accumulated_hour0,4_flood_max,0.07737325987836945,0.7423888189748229,4_waste_count,-0.1368749420393491,2.1904525715743192e-14,3_fb_baseline_median,0.005125582961637903,3.7418252606636614e-24,0.3241189893425189,0.3154907211213597,239,1741.8243372591005,1755.7301914668265
3_pct_outflow_worldpop_from_1_outflow_max_hour0,4_flood_max,-0.15086158988252069,0.33403834403271226,4_waste_count,-0.11428086611830848,2.8870077055354186e-14,3_fb_baseline_median,0.004389612688025707,5.985982633441259e-28,0.3187781075566445,0.3104024285511934,248,1728.969240070003,1743.022955054663
3_pct_outflow_worldpop_from_1_outflow_max_hour0,4_flood_mean,1.5521718427326947,0.5800544128618897,4_waste_count,-0.11498381147448927,1.0875555318185062e-14,3_fb_baseline_median,0.004398177051659678,4.627237775093815e-27,0.3180638811145218,0.3096794206364216,248,1729.229119221771,1743.282834206431
3_pct_outflow_worldpop_from_1_outflow_max_hour0,4_flood_p95,-0.08378383683904017,0.8293180086049097,4_waste_count,-0.1144877987218944,2.904910348044767e-14,3_fb_baseline_median,0.004378951957078959,3.172789805926839e-27,0.3172220004087951,0.30882718893841143,248,1729.5350975049564,1743.5888124896164
3_pct_outflow_worldpop_from_1_outflow_max_hour0,4_flood_mean,3.415210968644528,0.3089587125232164,4_waste_per_svi_count,-0.4625793994984557,1.5064404202198358e-16,3_fb_baseline_median,0.003923666743268387,1.8713761551287419e-22,0.3081646625500336,0.29873054431207946,224,1577.7351847578316,1591.3817689652517
3_pct_outflow_worldpop_from_1_outflow_max_hour0,4_flood_max,-0.1638576059924182,0.4560657689943828,4_waste_per_svi_count,-0.4587623910057862,1.2585085315294292e-15,3_fb_baseline_median,0.003926257912850422,2.139891081566952e-22,0.3060728043962795,0.29661016081986513,224,1578.4114573098445,1592.0580415172647
3_pct_outflow_fb_from_1_outflow_max_hour0,4_flood_mean,3.2509479535417163,0.3341914373553416,4_waste_per_svi_count,-0.4688809851649397,1.7076559487406367e-16,3_fb_baseline_median,0.003870718356355034,3.9228933232434464e-22,0.30542933808467576,0.29569236618866657,218,1538.3311609880516,1551.869141239208
3_pct_outflow_worldpop_from_1_outflow_max_hour0,4_flood_p95,-0.01788333328893077,0.9702486424775848,4_waste_per_svi_count,-0.45985789667078714,5.01159476908581e-16,3_fb_baseline_median,0.0039050267033179193,2.4971408052750416e-22,0.3046881863339127,0.2952066616021024,224,1578.8579673007084,1592.5045515081285
3_pct_outflow_fb_from_1_outflow_max_hour0,4_flood_mean,3.514596466443528,0.2631158494850875,4_waste_count,-0.11639461269406759,1.4572470455398356e-15,3_fb_baseline_median,0.0042926136461092,5.7366105034611135e-27,0.3026244779088072,0.2937218116693452,239,1680.085420284623,1693.991274492349
3_pct_outflow_fb_from_1_outflow_max_hour0,4_flood_max,-0.14298632947896336,0.5262823810893117,4_waste_per_svi_count,-0.46533578578085105,1.1705149640668796e-15,3_fb_baseline_median,0.0038715687018368696,5.866782829526811e-22,0.30327326229773754,0.29350606504022925,218,1539.0068251529406,1552.544805404097
3_pct_outflow_fb_from_1_outflow_max_hour0,4_flood_p95,-0.03622541595717695,0.9402720211896642,4_waste_per_svi_count,-0.4662666134087256,5.715495022752523e-16,3_fb_baseline_median,0.0038521100059567127,5.643400837520317e-22,0.3022487026135039,0.292467142369768,218,1539.3271658764704,1552.8651461276268
3_pct_outflow_fb_from_1_outflow_max_hour0,4_flood_max,-0.08773466789164895,0.6685217528224108,4_waste_count,-0.11537178305561024,9.162126686940548e-15,3_fb_baseline_median,0.0042761603683353815,2.7038658787821443e-27,0.2993062652773403,0.29036123887662557,239,1681.2199196010024,1695.1257738087284
3_pct_outflow_fb_from_1_outflow_max_hour0,4_flood_p95,0.055780487117497106,0.8945868274445002,4_waste_count,-0.11577367883739172,5.549649950771513e-15,3_fb_baseline_median,0.004268539529968584,4.944683731241264e-27,0.29893866107778866,0.2899889418575051,239,1681.3452730345068,1695.2511272422328
3_pct_outflow_worldpop_from_1_outflow_accumulated_hour0,4_flood_mean,4.96665521447845,0.2700841743175003,4_waste_per_population,-0.2731029301942862,0.7463578528591035,3_fb_baseline_median,0.003293105619536333,1.7501959906555376e-08,0.2223908757375579,0.21178711495216096,224,1668.9787130721616,1682.6252972795817
3_pct_outflow_worldpop_from_1_outflow_accumulated_hour0,4_flood_p95,0.16501027653435368,0.7960078278898106,4_waste_per_population,-0.1580286444537472,0.8731381123722266,3_fb_baseline_median,0.003266170079056299,3.202489494716902e-08,0.21733849704666697,0.20666584018821244,224,1670.4294060002521,1684.0759902076722
3_pct_outflow_worldpop_from_1_outflow_accumulated_hour0,4_flood_max,-0.056762240777091355,0.8308837136563942,4_waste_per_population,-0.14827876969931975,0.8865972901962628,3_fb_baseline_median,0.0032777070750030527,3.49860495528673e-08,0.2172375171554637,0.20656348329849272,224,1670.4583048747627,1684.1048890821828
3_pct_outflow_fb_from_1_outflow_accumulated_hour0,4_flood_mean,4.8783140334284685,0.2819058826667299,4_waste_per_population,-0.3120887345850723,0.7358281981836325,3_fb_baseline_median,0.0032306499761030854,5.491501303172894e-08,0.2151224984359995,0.20411954280659772,218,1628.5270061949475,1642.0649864461038
