y,flood,waste,population,nobs,r2,adjr2,aic,bic
3_estimated_excess_displacement_pop,4_flood_p95,4_waste_count,3_fb_baseline_median,250,0.5271629617514135,0.5213966564069186,4981.990882921891,4996.07672659334
3_estimated_excess_displacement_pop,4_flood_p95,4_waste_count,3_fb_baseline_safe,239,0.523597788116319,0.5175160577518465,4773.712631361315,4787.618485569042
3_estimated_excess_displacement_pop,4_flood_p95,4_waste_per_population,3_worldpop,224,0.5220505379153128,0.5155330452505216,4487.048564690716,4500.695148898137
3_estimated_excess_displacement_pop,4_flood_p95,4_waste_per_population,3_worldpop_safe,224,0.5220505379153128,0.5155330452505216,4487.048564690716,4500.695148898137
3_estimated_excess_displacement_pop,4_flood_p95,4_waste_per_svi_count,3_worldpop,224,0.5212305340965605,0.5147018595615136,4487.432545596718,4501.079129804139
3_estimated_excess_displacement_pop,4_flood_p95,4_waste_per_svi_count,3_worldpop_safe,224,0.5212305340965605,0.5147018595615136,4487.432545596718,4501.079129804139
3_estimated_excess_displacement_pop,4_flood_p95,4_waste_count_final,3_fb_baseline_median,224,0.518509679098459,0.5119439019952562,4488.701937815368,4502.3485220227885
3_estimated_excess_displacement_pop,4_flood_p95,4_waste_per_quadkey_area,3_fb_baseline_median,224,0.5184962087027646,0.5119302479123478,4488.708204455211,4502.354788662631
3_estimated_excess_displacement_pop,4_flood_p95,4_waste_count_final,3_fb_baseline_safe,218,0.5158309903198997,0.5090435742963468,4374.588222699672,4388.126202950828
3_estimated_excess_displacement_pop,4_flood_p95,4_waste_per_quadkey_area,3_fb_baseline_safe,218,0.5158174435331973,0.5090298376014197,4374.594322136291,4388.132302387447
3_estimated_outflow_pop_from_2_outflow_max,4_flood_p95,4_waste_per_svi_count,3_fb_baseline_median,224,0.5033976426285272,0.49662579230073434,4636.7240050523405,4650.370589259761
3_estimated_outflow_pop_from_2_outflow_max,4_flood_p95,4_waste_per_svi_count,3_fb_baseline_safe,218,0.5002900795857643,0.4932848003276209,4518.64942605907,4532.187406310226
3_estimated_outflow_pop_from_1_outflow_accumulated_hour0,4_flood_p95,4_waste_count,3_fb_baseline_median,250,0.49440054989557936,0.48823470294308646,5022.633808019515,5036.7196516909635
3_estimated_outflow_pop_from_1_outflow_accumulated_hour0,4_flood_p95,4_waste_per_svi_count,3_fb_baseline_median,224,0.4929465801137095,0.4860322152970783,4523.213381956117,4536.859966163537
3_estimated_outflow_pop_from_1_outflow_accumulated_hour0,4_flood_p95,4_waste_count,3_fb_baseline_safe,239,0.49196423652057264,0.4854786735825375,4812.558739362559,4826.464593570286
3_estimated_outflow_pop_from_1_outflow_max_hour0,4_flood_p95,4_waste_count,3_fb_baseline_median,250,0.4913270905396947,0.48512376237554466,4938.098913071698,4952.184756743147
3_estimated_outflow_pop_from_1_outflow_accumulated_hour0,4_flood_p95,4_waste_per_svi_count,3_fb_baseline_safe,218,0.49152784703248664,0.4843997327385495,4407.975849046793,4421.513829297949
3_estimated_outflow_pop_from_1_outflow_max_hour0,4_flood_p95,4_waste_count,3_fb_baseline_safe,239,0.4886007122804671,0.4820722107351114,4731.789352422607,4745.695206630334
3_estimated_outflow_pop_from_1_outflow_accumulated_hour0,4_flood_p95,4_waste_count_final,3_fb_baseline_median,224,0.48802843688375575,0.4810470064776251,4525.375591236232,4539.0221754436525
3_estimated_outflow_pop_from_1_outflow_accumulated_hour0,4_flood_p95,4_waste_per_quadkey_area,3_fb_baseline_median,224,0.4880253205601529,0.48104384765870045,4525.376954699387,4539.0235389068075
3_estimated_outflow_pop_from_1_outflow_max_hour0,4_flood_p95,4_waste_per_svi_count,3_fb_baseline_median,224,0.48687969417526544,0.4798825990958372,4448.584849176743,4462.231433384163
3_estimated_outflow_pop_from_1_outflow_accumulated_hour0,4_flood_p95,4_waste_count_final,3_fb_baseline_safe,218,0.48640920303899593,0.4792093320535613,4410.159420459896,4423.697400711052
3_estimated_outflow_pop_from_1_outflow_accumulated_hour0,4_flood_p95,4_waste_per_quadkey_area,3_fb_baseline_safe,218,0.4864060694836375,0.4792061545698567,4410.160750532375,4423.698730783531
3_estimated_outflow_pop_from_1_outflow_max_hour0,4_flood_p95,4_waste_per_svi_count,3_fb_baseline_safe,218,0.4852246375243008,0.47800816048024897,4335.387638487296,4348.925618738452
3_estimated_outflow_pop_from_1_outflow_max_hour0,4_flood_p95,4_waste_count_final,3_fb_baseline_median,224,0.4843564454174405,0.47732494240040557,4449.683660822233,4463.330245029653
3_estimated_outflow_pop_from_1_outflow_max_hour0,4_flood_p95,4_waste_per_quadkey_area,3_fb_baseline_median,224,0.48435300884580146,0.47732145896642597,4449.685153693567,4463.331737900988
3_estimated_outflow_pop_from_1_outflow_max_hour0,4_flood_p95,4_waste_count_final,3_fb_baseline_safe,218,0.4825270742082288,0.47527278085600777,4336.527035177586,4350.065015428742
3_estimated_outflow_pop_from_1_outflow_max_hour0,4_flood_p95,4_waste_per_quadkey_area,3_fb_baseline_safe,218,0.4825236193709317,0.475269277586412,4336.528490619947,4350.066470871103
3_estimated_excess_displacement_pop,4_flood_p95,4_waste_per_svi_count,3_fb_baseline_median,224,0.48167795877064856,0.4746099309357028,4505.21311697133,4518.859701178751
