quadkey,hour,2_threshold_lower,2_n_pairs,2_low_confidence
30011010222302,8,-3.5,4,False
30011010222303,8,-3.5,4,False
30011010222310,8,-3.5,4,False
30011010222311,8,-3.5,4,False
30011010222312,8,-3.5,4,False
30011010222313,8,-3.5,4,False
30011010222320,8,-3.5,4,False
30011010222321,8,-3.5,4,False
30011010222330,8,-3.5,4,False
30011010222331,8,-3.5,4,False
30011010222332,8,-3.5,4,False
30011010222333,8,-3.5,4,False
30011010223000,8,-3.5,4,False
30011010223001,8,-3.5,4,False
30011010223002,8,-3.5,4,False
30011010223003,8,-3.5,4,False
30011010223010,8,-3.5,4,False
30011010223011,8,-3.5,4,False
30011010223012,8,-3.5,4,False
30011010223013,8,-3.5,4,False
30011010223020,8,-3.5,4,False
30011010223021,8,-3.5,4,False
30011010223022,8,-3.5,4,False
30011010223023,8,-3.5,4,False
30011010223030,8,-3.5,4,False
30011010223031,8,-3.5,4,False
30011010223032,8,-3.5,4,False
30011010223033,8,-3.5,4,False
30011010223100,8,-3.5,4,False
30011010223101,8,-3.5,4,False
30011010223102,8,-3.5,4,False
30011010223103,8,-3.5,4,False
30011010223110,8,-3.5,4,False
30011010223111,8,-3.5,4,False
30011010223112,8,-3.5,4,False
30011010223113,8,-3.5,4,False
30011010223120,8,-3.5,4,False
30011010223121,8,-3.5,4,False
30011010223122,8,-3.5,4,False
30011010223123,8,-3.5,4,False
30011010223130,8,-3.5,4,False
30011010223131,8,-3.5,4,False
30011010223132,8,-3.5,4,False
30011010223133,8,-3.5,4,False
30011010223200,8,-3.5,4,False
30011010223201,8,-3.5,4,False
30011010223202,8,-3.5,4,False
30011010223203,8,-3.5,4,False
30011010223210,8,-3.5,4,False
30011010223211,8,-3.5,4,False
30011010223212,8,-3.5,4,False
30011010223220,8,-3.5,4,False
30011010223221,8,-3.5,4,False
30011010223222,8,-3.5,4,False
30011010223223,8,-3.5,4,False
30011010223232,8,-3.5,4,False
30011010223233,8,-3.5,4,False
30011010223300,8,-3.5,4,False
30011010223301,8,-3.5,4,False
30011010223310,8,-3.5,4,False
30011010223311,8,-3.5,4,False
30011010223312,8,-3.5,4,False
30011010223313,8,-3.5,4,False
30011010223331,8,-3.5,4,False
30011010230022,8,-3.5,4,False
30011010230023,8,-3.5,4,False
30011010230032,8,-3.5,4,False
30011010230033,8,-3.5,4,False
30011010230200,8,-3.5,4,False
30011010230201,8,-3.5,4,False
30011010230202,8,-3.5,4,False
30011010230203,8,-3.5,4,False
30011010230210,8,-3.5,4,False
30011010230211,8,-3.5,4,False
30011010230212,8,-3.5,4,False
30011010230213,8,-3.5,4,False
30011010230220,8,-3.5,4,False
30011010230221,8,-3.5,4,False
30011010230222,8,-3.5,4,False
30011010230223,8,-3.5,4,False
30011010230230,8,-3.5,4,False
30011010230232,8,-3.5,4,False
30011010230233,8,-3.5,4,False
30011010232000,8,-3.5,4,False
30011010232001,8,-3.5,4,False
30011010232002,8,-3.5,4,False
30011010232003,8,-3.5,4,False
30011010232010,8,-3.5,4,False
30011010232011,8,-3.5,4,False
30011010232012,8,-3.5,4,False
30011010232013,8,-3.5,4,False
30011010232020,8,-3.5,4,False
30011010232021,8,-3.5,4,False
30011010232022,8,-3.5,4,False
30011010232023,8,-3.5,4,False
30011010232030,8,-3.5,4,False
30011010232031,8,-3.5,4,False
30011010232032,8,-3.5,4,False
30011010232033,8,-3.5,4,False
30011010232100,8,-3.5,4,False
30011010232101,8,-3.5,4,False
30011010232102,8,-3.5,4,False
30011010232103,8,-3.5,4,False
30011010232110,8,-3.5,4,False
30011010232112,8,-3.5,4,False
30011010232113,8,-3.5,4,False
30011010232120,8,-3.5,4,False
30011010232121,8,-3.5,4,False
30011010232122,8,-3.5,4,False
30011010232123,8,-3.5,4,False
30011010232130,8,-3.5,4,False
30011010232131,8,-3.5,4,False
30011010232132,8,-3.5,4,False
30011010232133,8,-3.5,4,False
30011010232200,8,-3.5,4,False
30011010232202,8,-3.5,4,False
30011010232203,8,-3.5,4,False
30011010232210,8,-3.5,4,False
30011010232220,8,-3.5,4,False
30011010232221,8,-3.5,4,False
30011010232222,8,-3.5,4,False
30011010232223,8,-3.5,4,False
30011010233000,8,-3.5,4,False
30011010233002,8,-3.5,4,False
30011010233020,8,-3.5,4,False
30011012000110,8,-3.5,4,False
30011012000111,8,-3.5,4,False
30011012001000,8,-3.5,4,False
30011012001001,8,-3.5,4,False
30011012001010,8,-3.5,4,False
30011012001110,8,,2,True
30011012010001,8,-3.5,4,False
30011012010012,8,-3.5,4,False
30011012010013,8,-3.5,4,False
30011012010020,8,-3.5,4,False
30011012010021,8,-3.5,4,False
30011012010022,8,-3.5,4,False
30011012010023,8,-3.5,4,False
30011012010030,8,-3.5,4,False
30011012010031,8,-3.5,4,False
30011012010032,8,-3.5,4,False
30011012010102,8,-3.5,4,False
30011012010120,8,-3.5,4,False
30011012010200,8,-3.5,4,False
30011012010201,8,-3.5,4,False
30011012010202,8,-3.5,4,False
30011012010203,8,-3.5,4,False
30011012010210,8,-3.5,4,False
30011012010220,8,-3.5,4,False
30011012010221,8,-3.5,4,False
30011010220033,16,-3.5,3,False
30011010220210,16,-3.5,3,False
30011010220211,16,-3.5,3,False
30011010220212,16,-3.5,3,False
30011010220213,16,-3.5,3,False
30011010220231,16,-3.5,3,False
30011010220233,16,-3.5,3,False
30011010220300,16,-3.5,3,False
30011010220302,16,-3.5,3,False
30011010220303,16,-3.5,3,False
30011010220311,16,-3.5,3,False
30011010220312,16,-3.5,3,False
30011010220313,16,-3.5,3,False
30011010220320,16,-3.5,3,False
30011010220321,16,-3.5,3,False
30011010220322,16,-3.5,3,False
30011010220323,16,-3.5,3,False
30011010220330,16,-3.5,3,False
30011010220331,16,-3.5,3,False
30011010220332,16,-3.5,3,False
30011010220333,16,-3.5,3,False
30011010221032,16,-3.5,3,False
30011010221033,16,-3.5,3,False
30011010221122,16,-3.5,3,False
30011010221133,16,-3.5,3,False
30011010221200,16,-3.5,3,False
30011010221201,16,-3.5,3,False
30011010221202,16,-3.5,3,False
30011010221203,16,-3.5,3,False
30011010221210,16,-3.5,3,False
30011010221211,16,-3.5,3,False
30011010221212,16,-3.5,3,False
30011010221213,16,-3.5,3,False
30011010221220,16,-3.5,3,False
30011010221221,16,-3.5,3,False
30011010221222,16,-3.5,3,False
30011010221223,16,-3.5,3,False
30011010221230,16,-3.5,3,False
30011010221231,16,-3.5,3,False
30011010221232,16,-3.5,3,False
30011010221233,16,-3.5,3,False
30011010221300,16,-3.5,3,False
30011010221301,16,-3.5,3,False
30011010221302,16,-3.5,3,False
30011010221303,16,-3.5,3,False
30011010221311,16,-3.5,3,False
30011010221312,16,-3.5,3,False
30011010221313,16,-3.5,3,False
30011010221320,16,-3.5,3,False
30011010221321,16,-3.5,3,False
