quadkey,ts_prefix,dt,hour,baseline,crisis,change_raw,2_threshold_lower,2_n_pairs,2_low_confidence,2_change_median,2_change_mad,2_change,2_is_anomaly,2_anomaly_direction
30011010223221,20240430_1600,2024-04-30 16:00:00,16,245.6379829771673,164.8081142632124,-80.82986871395491,-3.5,3.0,False,3.3784508785338403,1.492044411562432,-38.06757434629956,True,outflow
30011010223222,20240430_1600,2024-04-30 16:00:00,16,767.761305454602,513.8172464345838,-253.94405902001824,-3.5,3.0,False,16.48093163020792,18.998107803832113,-9.601043328998546,True,outflow
30011010223223,20240430_1600,2024-04-30 16:00:00,16,672.4389243410552,446.68025095367113,-225.75867338738408,-3.5,3.0,False,3.3175837654749785,7.118387695471597,-21.70602980052591,True,outflow
30011010223232,20240430_1600,2024-04-30 16:00:00,16,179.5531012665818,115.7903222679827,-63.76277899859909,-3.5,3.0,False,-1.9090439406624569,4.524085167612014,-9.221829994548898,True,outflow
30011010223300,20240430_1600,2024-04-30 16:00:00,16,1756.1167756762602,1301.7105963250578,-454.40617935120235,-3.5,3.0,False,42.193444461968056,21.019551864050754,-15.935470386257453,True,outflow
30011010223301,20240430_1600,2024-04-30 16:00:00,16,1456.280168095023,995.1338247711096,-461.14634332391347,-3.5,3.0,False,33.99560738924697,54.34360722068709,-6.145584786077514,True,outflow
30011010223310,20240430_1600,2024-04-30 16:00:00,16,1715.8518827326727,1626.0814431393726,-89.77043959330013,-3.5,3.0,False,52.15366787000016,21.881568164730197,-4.374814901899714,True,outflow
30011010223312,20240430_1600,2024-04-30 16:00:00,16,536.341425256056,446.69506826525446,-89.64635699080156,-3.5,3.0,False,62.317229941083326,5.048902277427601,-20.301331607031912,True,outflow
30011010230210,20240430_1600,2024-04-30 16:00:00,16,796.3779247095133,588.017420969331,-208.36050374018225,-3.5,3.0,False,-29.23984464653188,13.208840256976032,-9.146668610430028,True,outflow
30011010230212,20240430_1600,2024-04-30 16:00:00,16,478.39846258583617,276.7127267600584,-201.68573582577778,-3.5,3.0,False,-0.9494276125241754,0.10733458627640857,-1261.4446525294786,True,outflow
