y,flood_var,flood_coefficient,flood_p_value,waste_var,waste_coefficient,waste_p_value,r2,adjr2,nobs,aic,bic
3_pct_outflow_worldpop_from_1_outflow_max_hour0,4_flood_p95,0.0005763800910423833,0.9991299610715763,4_waste_per_svi_count,-0.059089724204625146,0.2760912726922832,0.002464117153799794,-0.006563356899107031,224,1657.705777294812,1667.940715450377
3_estimated_excess_displacement_pop,4_flood_p95,-181.577115120548,0.694252158604524,4_waste_per_population,263.0550929786149,0.8215212260711505,0.0023797845107067506,-0.0066484527335402,224,4649.882920360058,4660.117858515623
3_pct_outflow_worldpop_from_1_outflow_max_hour0,4_flood_p95,-0.27725165715654426,0.5294850500111075,4_waste_count,0.006050949767629539,0.6591977575644465,0.00148353706344162,-0.006667617736040521,248,1821.8001134769993,1832.3403997154942
2_displaced_excess_max,4_flood_p95,2.928447526063964,0.869666433520467,4_waste_per_population,15.652411062841896,0.8156445795153704,0.001959450332658652,-0.007072590840801363,224,3406.791530358099,3417.026468513664
3_pct_outflow_worldpop_from_1_outflow_accumulated_hour0,4_flood_p95,-0.051330941672078495,0.9262602372671336,4_waste_count,0.008848064511654999,0.5933848876037817,0.0008165892677362008,-0.00734001000354767,248,1894.4180300906555,1904.9583163291504
1_outflow_accumulated_hour0,4_flood_p95,22.169044752041433,0.30856709809785443,4_waste_per_population,2.3774268216487675,0.9554562487534829,0.0014831671182896633,-0.007553184310504113,224,3510.3582659533477,3520.5932041089127
3_pct_outflow_fb_from_1_outflow_accumulated_hour0,4_flood_p95,0.19837511488357276,0.7435674308987621,4_waste_count,0.0025820983151975093,0.8768184061829993,0.00045127895466123835,-0.008019472918604276,239,1833.3418961677257,1843.7712868235203
3_pct_outflow_worldpop_from_1_outflow_accumulated_hour0,4_flood_p95,0.30077049071234574,0.6566079437341181,4_waste_per_population,0.08785944139884916,0.8462383747605771,0.0009312717427589767,-0.008110074214320084,224,1723.1130204218316,1733.3479585773966
3_pct_outflow_worldpop_from_1_outflow_accumulated_hour0,4_flood_p95,0.310286082262278,0.6442382943714657,4_waste_count_final,0.0012220784731017615,0.9421218114006861,0.0008405112885158106,-0.008201656030140114,224,1723.1333687900428,1733.3683069456079
3_pct_outflow_worldpop_from_1_outflow_accumulated_hour0,4_flood_p95,0.3102903152651483,0.644233874058002,4_waste_per_quadkey_area,7.253814657248171,0.9421957801635658,0.0008404705182412098,-0.008201697169376576,224,1723.1333779302668,1733.3683160858318
3_pct_outflow_fb_from_1_outflow_max_hour0,4_flood_p95,-0.07829196076038387,0.8703310764037693,4_waste_count,0.0005267476564992043,0.9695407565619292,7.757500846938825e-05,-0.008396343847391075,239,1764.2099464937924,1774.639337149587
3_pct_outflow_worldpop_from_1_outflow_max_hour0,4_flood_p95,-0.05142489865069205,0.9231229439930497,4_waste_per_population,0.16817938063022037,0.6606116561099957,0.000529514855689639,-0.008515466910322234,224,1658.1397779643003,1668.3747161198653
3_pct_outflow_fb_from_1_outflow_accumulated_hour0,4_flood_p95,0.2856072059779455,0.6728339935828731,4_waste_per_quadkey_area,-11.80230383366808,0.9065855627363908,0.0007081884189045207,-0.00858754936324524,218,1679.1781880969945,1689.3316732853618
3_pct_outflow_fb_from_1_outflow_accumulated_hour0,4_flood_p95,0.2856030265548841,0.6728384215659048,4_waste_count_final,-0.001984221565487854,0.9066612377045511,0.0007081223179743468,-0.008587616079067661,218,1679.1782025172092,1689.3316877055765
3_pct_outflow_fb_from_1_outflow_accumulated_hour0,4_flood_p95,0.27815757708602473,0.683167116425168,4_waste_per_population,0.01539262528593735,0.9659304887649977,0.0006696551444467236,-0.0086264410867678,218,1679.186594141935,1689.3400793303024
1_outflow_max_hour0,4_flood_p95,18.214812221023845,0.37225457077485313,4_waste_per_population,-1.3658042336307958,0.9640580456616608,0.0011219647471969463,-0.008670957167046245,207,3202.358621685663,3212.356778065459
3_pct_outflow_worldpop_from_1_outflow_max_hour0,4_flood_p95,-0.02572805337533124,0.9610948907601731,4_waste_per_quadkey_area,-2.6963206390911836,0.9740257391765285,1.102883516468367e-05,-0.009038645112028343,224,1658.2559502335948,1668.4908883891599
3_pct_outflow_worldpop_from_1_outflow_max_hour0,4_flood_p95,-0.025731303885702828,0.9610899573101052,4_waste_count_final,-0.00045245897938965335,0.974095497880191,1.101347385723539e-05,-0.009038660612352256,224,1658.2559536745655,1668.4908918301305
3_pct_outflow_fb_from_1_outflow_max_hour0,4_flood_p95,-0.07383057571439151,0.8905553415576717,4_waste_per_population,0.1039171786131847,0.7399829484987861,0.00024124987457785352,-0.00905883152193776,218,1615.7311423444078,1625.884627532775
3_pct_outflow_fb_from_1_outflow_max_hour0,4_flood_p95,-0.05005267717529723,0.9248955231717324,4_waste_per_quadkey_area,-19.773551463373263,0.8124947180901656,0.0001964399129540384,-0.009104058320413833,218,1615.7409130543133,1625.8943982426806
3_pct_outflow_fb_from_1_outflow_max_hour0,4_flood_p95,-0.05005588749724706,0.9248906807436518,4_waste_count_final,-0.003325801462048013,0.8125646684457212,0.0001963277189451773,-0.009104171558087959,218,1615.7409375174116,1625.8944227057789
